year,sex,age,marst,race,raced,hispan,hispand,speakeng,hcovany
2019,female,30,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,female,16,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,3,never married/single,black/african american,black/african american,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,male,54,"married, spouse present",white,white,puerto rican,puerto rican,"yes, speaks only english",with health insurance coverage
2019,male,21,never married/single,white,white,mexican,mexican,"yes, speaks very well",no health insurance coverage
2019,male,38,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,female,75,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,42,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,64,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,71,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,16,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,21,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,37,"married, spouse present",white,white,mexican,mexican,"yes, but not well",with health insurance coverage
2019,female,55,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,79,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,77,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,31,"married, spouse present",american indian or alaska native,inupiat,other,"other, n.s","yes, speaks only english",no health insurance coverage
2019,male,20,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,9,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,13,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,64,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,42,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,9,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,79,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,53,separated,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,13,never married/single,white,white,mexican,mexican,"yes, speaks very well",with health insurance coverage
2019,female,72,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,63,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,34,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,59,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,15,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,84,widowed,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,36,never married/single,two major races,white and black,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,9,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,62,"married, spouse present",white,white,puerto rican,puerto rican,"yes, speaks very well",with health insurance coverage
2019,female,48,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,13,never married/single,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,91,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,11,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,34,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,57,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,20,never married/single,white,white,puerto rican,puerto rican,"yes, speaks only english",with health insurance coverage
2019,male,72,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,94,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,18,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,male,9,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,64,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,31,"married, spouse present",black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,73,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,41,"married, spouse present",japanese,japanese,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,male,66,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,22,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,36,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,84,"married, spouse present",other asian or pacific islander,korean,not hispanic,not hispanic,does not speak english,with health insurance coverage
2019,male,5,never married/single,two major races,white and other race write_in,mexican,mexican,"yes, speaks only english",with health insurance coverage
2019,male,1,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,female,27,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,female,48,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,52,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,54,"married, spouse present",white,white,mexican,mexican,"yes, speaks well",with health insurance coverage
2019,female,85,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,61,divorced,"other race, nec","other race, n.e.c",mexican,mexican,"yes, speaks very well",with health insurance coverage
2019,female,86,widowed,white,white,not hispanic,not hispanic,"yes, but not well",with health insurance coverage
2019,female,31,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,male,2,never married/single,white,white,other,"other, n.s",n/a (blank),with health insurance coverage
2019,female,52,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,23,"married, spouse absent",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,17,never married/single,white,white,mexican,mexican,"yes, speaks very well",with health insurance coverage
2019,male,49,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,23,never married/single,two major races,white and black,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,60,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,5,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,25,never married/single,chinese,chinese,not hispanic,not hispanic,"yes, speaks well",with health insurance coverage
2019,female,63,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,53,"married, spouse present",other asian or pacific islander,vietnamese,not hispanic,not hispanic,"yes, speaks well",with health insurance coverage
2019,male,7,never married/single,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,female,52,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,79,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,90 (90+ in 1980 and 1990),"married, spouse absent",white,white,mexican,mexican,"yes, speaks very well",with health insurance coverage
2019,female,31,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,male,39,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,female,19,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,male,1,never married/single,black/african american,black/african american,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,female,22,never married/single,two major races,filipino and other race write_in,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,74,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,41,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,58,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,84,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,25,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,male,36,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,36,"married, spouse present",other asian or pacific islander,asian indian (hindu 1920_1940),not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,male,63,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,5,never married/single,two major races,white and aian,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,44,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,78,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,92,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,5,never married/single,two major races,white and black,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,4,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,female,3,never married/single,white,white,not hispanic,not hispanic,n/a (blank),no health insurance coverage
2019,female,9,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,53,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,21,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,65,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,15,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,54,"married, spouse present",black/african american,black/african american,not hispanic,not hispanic,does not speak english,with health insurance coverage
2019,male,47,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,2,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,female,76,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,66,"married, spouse present",white,white,other,"other, n.s","yes, speaks only english",with health insurance coverage
2019,male,15,never married/single,white,white,other,"other, n.s","yes, speaks well",with health insurance coverage
2019,male,36,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,18,never married/single,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,female,5,never married/single,white,white,mexican,mexican,"yes, speaks well",with health insurance coverage
2019,male,68,widowed,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,75,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,29,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,74,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,13,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,66,"married, spouse present",black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,47,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,female,69,"married, spouse present",white,white,other,peruvian,"yes, speaks very well",with health insurance coverage
2019,male,20,never married/single,white,white,mexican,mexican,"yes, speaks very well",with health insurance coverage
2019,female,40,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,52,separated,white,white,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,male,7,never married/single,"other race, nec","other race, n.e.c",mexican,mexican,"yes, speaks very well",with health insurance coverage
2019,female,62,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,74,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,29,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,63,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,35,never married/single,american indian or alaska native,"2+ amer. indian tribes (2000,acs)",mexican,mexican,"yes, speaks very well",no health insurance coverage
2019,male,19,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,49,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,58,"married, spouse present",other asian or pacific islander,chinese and asian write_in,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,male,27,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,male,64,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,23,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,66,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,49,"married, spouse present",black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,53,divorced,other asian or pacific islander,hawaiian,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,male,44,"married, spouse present",other asian or pacific islander,pakistani,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,male,48,"married, spouse present",white,white,mexican,mexican,does not speak english,no health insurance coverage
2019,female,59,"married, spouse present",white,white,other,argentinean,"yes, speaks well",no health insurance coverage
2019,female,9,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,4,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,female,32,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,62,"married, spouse present",black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,10,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,70,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,20,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,63,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,43,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,69,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,34,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,85,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,75,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,57,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,32,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,35,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,8,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,22,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,16,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,59,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,80,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,24,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,10,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,7,never married/single,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,2,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,female,less than 1 year old,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,male,51,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,73,"married, spouse present",white,white,puerto rican,puerto rican,"yes, but not well",with health insurance coverage
2019,female,45,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,74,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,63,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,19,never married/single,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,39,"married, spouse present",other asian or pacific islander,asian indian (hindu 1920_1940),not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,female,20,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,52,divorced,white,white,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,female,59,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,37,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,48,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,30,never married/single,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,3,never married/single,"other race, nec","other race, n.e.c",mexican,mexican,n/a (blank),with health insurance coverage
2019,female,56,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,20,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,50,"married, spouse present",two major races,white and aian,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,7,never married/single,two major races,white and other race write_in,mexican,mexican,"yes, speaks only english",with health insurance coverage
2019,female,64,"married, spouse present",white,white,cuban,cuban,"yes, speaks only english",with health insurance coverage
2019,female,2,never married/single,white,white,puerto rican,puerto rican,n/a (blank),with health insurance coverage
2019,female,49,"married, spouse present","other race, nec","other race, n.e.c",mexican,mexican,does not speak english,with health insurance coverage
2019,female,75,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,72,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,5,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,61,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,60,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,13,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,53,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,2,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,female,42,"married, spouse present",chinese,chinese,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,male,25,never married/single,chinese,chinese,not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,male,53,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,38,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,45,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,32,"married, spouse present",chinese,chinese,not hispanic,not hispanic,"yes, speaks well",with health insurance coverage
2019,female,18,never married/single,white,white,mexican,mexican,"yes, speaks only english",with health insurance coverage
2019,female,82,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,21,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,60,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,74,"married, spouse present",white,white,mexican,mexican,"yes, speaks very well",with health insurance coverage
2019,male,64,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,19,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,29,"married, spouse present",other asian or pacific islander,asian indian (hindu 1920_1940),not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,female,34,"married, spouse present",black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,less than 1 year old,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,male,28,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,42,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,57,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,male,35,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,9,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
